spec_T,Surname,Name,OCC,Diameter,TOF,Launch_date,Min_dv,Duration,Stay
0.957049548625946,2001 HW15,,0,0.48,330.0,2049-11-01 00:00:00,18.16,383,8
0.8214315176010132,1998 MW5,,0,0.69,150.0,2029-02-09 00:00:00,8.1,448,73
0.90574711561203,1993 TQ2,,0,0.58,390.0,2035-11-15 00:00:00,18.59,443,8
0.9600441455841064,2000 YF29,,0,0.5,420.0,2031-06-29 00:00:00,12.54,408,18
0.90574711561203,2001 QA143,,0,0.58,120.0,2035-09-16 00:00:00,19.5,428,8
0.8598031997680664,1999 CW8,,0,1.05,150.0,2038-07-22 00:00:00,26.11,383,8
0.90574711561203,2000 WJ10,,0,0.48,270.0,2027-04-21 00:00:00,28.67,413,23
0.6982436776161194,2002 AU5,,0,1.68,350.0,2030-03-16 00:00:00,21.95,403,28
0.8790338635444641,1991 XB,,0,0.97,440.0,2047-03-07 00:00:00,38.4,448,13
0.9808195233345032,1996 FQ3,,5,0.39,380.0,2047-08-14 00:00:00,16.38,443,8
0.7322514057159424,1997 AC11,,0,0.44,270.0,2036-05-23 00:00:00,21.59,423,18
0.6982436776161194,1997 GL3,,0,0.82,300.0,2034-07-23 00:00:00,23.41,403,13
0.90574711561203,1997 RT,,1,0.61,210.0,2033-12-15 00:00:00,16.64,428,8
0.8902148008346558,1997 TT25,,1,0.77,390.0,2031-08-08 00:00:00,19.08,418,13
0.9623211622238159,1998 BT13,,7,0.03,390.0,2047-05-06 00:00:00,17.52,448,13
0.8289831876754761,1998 HT31,,8,0.39,380.0,2025-11-17 00:00:00,25.33,448,28
0.8902148008346558,1998 SG2,,0,0.77,300.0,2035-05-09 00:00:00,17.95,428,8
